Pets Prohibited,No smoking is allowed in the Premises. Pets are not allowed
Pets Prohibited,"Pets - No animals, birds, reptiles, or pets of any kind will be kept on or about the premises without the written
permission of the Landlord."
Pets Prohibited,Tenant agrees to pledge a key deposit of $______.00 which will be refunded upon returning the key/access card/remote control at the end of the Lease Term.
Pets Prohibited,"NO PETS will be allowed in or on the property unless agreed to, in writing, by the
Lessor, including pets owned by guests."
Pets Prohibited,No pet shall be on or about the premises at any time without written permission of landlord.
Pets Prohibited,"Tenant agrees not to keep or allow anywhere on the or about the premises any animals or pets for any kind, whether on a temporary basis, or otherwise and whether belonging to the tenant or anybody else, including but not limited to dogs, cats, birds, reptiles, or marine animals."
Pets Prohibited,"No pets are allowed on the lease premises or any part of the building , unless consented"
Pets Prohibited,"Lessee hereby acknowledges that no pets (animals, domestic or otherwise) are allowed under any
circumstances at any time in all buildings except 303 W. Green and 608 S. State Street (only select units apply
with signed pet addendum and paid non-refundable pet fee of $250.00). If Lessor finds an unauthorized pet on
the premises, Lessee hereby agrees to pay a fine of $350.00 as liquidated damages, and an additional $50.00
for each additional day the pet remains on the premises. This fine shall be applied in all cases, even those in
which tenant is “keeping” the pet for a friend or the pet is just “visiting” with a guest or visitor of the lessee. If
the pet remains on the premises for a period of five days or more from the date it is first observed by Lessor,
then Lessee could be subject to eviction, with all the rent due on the balance of this lease. Payment of said
sums shall in no way grant Lessee consent to maintain said pet."
Pets Prohibited,"No pets, animals, reptiles or birds of any kind shall be allowed or kept in or about the premises either on a permanent or temporary basis."
Pets Prohibited,"No pets or any other animals shall be allowed on the Premises, unless the Landlord has provided written consent to the Tenant identifying the pets the Landlord agrees to allow on the Premises in a Pet Addendum attached to and forming part of this Agreement. Any breach of this paragraph by the Tenant will be a substantial breach of this Agreement and may result in the termination of the tenancy created hereunder."
Guests Prohibited,"No guests of the Tenants may occupy the Premises for longer than one week without the prior
written consent of the Landlord."
Guests Prohibited,"No guests of the Tenant are to reside in or remain on the premises for a period of longer than two weeks without the prior registration of that guest with the Landlord or its
agent. Registration of a guest shall not be deemed to constitute the Landlord's consent to an assignment of this Lease or a sub-letting thereof."
Guests Prohibited,"No guests shall be permitted longer than 3 days within any 30 day
period."
Guests Prohibited,"Tenant agrees that no guests are to be allowed in the apartment if the Tenant is not there without first obtaining
written consent of all others listed on the Lease."
Guests Prohibited,No guests shall be permitted after 10 p.m.
Guests Prohibited,Tenant agrees that no guests shall be permitted overnight
Guests Prohibited,NO GUESTS ARE AUTHORIZED
Guests Prohibited,tenant agrees that guests are not permitted
Guests Prohibited,"There shall be no other persons living on the Premises other than the Tenant(s) and any
Occupant(s). Guests of the Tenant(s) are allowed for periods not lasting for more than forty-eight
hours unless otherwise approved by the Landlord."
Guests Prohibited,There shall be no guest of the tenant(s) permitted on the premises for a period longer than 2 weeks
Security Deposit,The tenant is required to pay a security deposit of $750
Security Deposit,"Before moving into the Apartment, the Tenant is responsible for depositing $900 as a Security Deposit with the Landlord. This Security Deposit is security that the Tenant will comply with all the terms of this Lease. This Security Deposit may not be used to pay the last month’s rent without the Landlord’s prior written consent."
Security Deposit,"Simultaneously with signing this Lease, Tenant shall deposit with Landlord a
security deposit in the amount of $"
Security Deposit,"Tenant shall pay a security deposit of $____.00 to Landlord due upon signing of the lease or the day on which possession of the lease premises is delivered to tenant, whichever is good. This deposit shall be kept in an account seperte from landlords own fnds. If tenant surrenders the lease premises at the end of the lease term in good and broom-clean condition, the depsoit shall be returned in full to tenant no later than 21 days after surrender of the lease premise."
Security Deposit,"The Tenant agrees to pay the security deposit and non-refundable preparation fee. If more than one person
signs this lease, then the security deposit shall be returned in one check payable to one person, chosen by Tenants, who shall act as agent of all
other persons who have signed this lease or acquired legal rights of occupancy under it, in dividing the security deposit according to any
shares the Tenants have agreed upon, and in remitting those shares to each person. Landlord shall not be responsible for the proper division
of shares in the security deposit, nor for the assessment of individual liability for any charges against the security deposit made by Landlord,
which shall be matters solely for the Tenants to agree upon.
Deductions from the security deposit will be made in the following order of priority: First to be deducted will be any outstanding
late fees and/or dishonored check fees; second will be any charges due to repairs or maintenance which were necessary because of the Tenant;
third will be any legal fees and/or court costs which are legally chargeable to the Tenant; fourth will be any outstanding utility bills; fifth will
be any outstanding deposits; and sixth will be any unpaid rent"
Security Deposit,Total Security Deposit
Security Deposit,Deposit
Security Deposit,A security deposit is required in the amount of $
Security Deposit,"The Tenant must pay to the Landlord a security deposit of $ ___________ by the _____ day
of__________________, 20 ____."
Security Deposit,"Security Deposit: Tenant shall deposit with the Landlord $_______________ to be held as
security deposit. This deposit will be returned in full, including any interest acquired, when this
lease expires if, after inspection by the Landlord, the premises are in good condition (normal wear
and tear excepted*) and tenant owes no back rent."
Security Deposit,"The tenant(s) shall deposit with Landlord as a Security/Rent/Inspection/Cleaning/Pet/Damage deposit, the sum of Dollars ($),
payable prior to occupancy by means of secured funds. Cash or personal checks will not be accepted as payment for a security deposit. Tenant cannot use
the security deposit during the occupancy or term of the Rental Agreement for rent. Rent must be paid in full during occupancy and lease of the
property. The Landlord shall furnish, no later than 30(thirty) days after the Tenant has vacated the Premises and the lease term has ended, an itemized
statement for the security deposit. Landlord may use/ deduct security deposit funds for the damage, cleaning, legal expenses, costs of collection, loss
of personal property of Landlord included in this Rental Agreement, loss of rents, late fees, service fees, non-sufficient funds fees, tenant caused
billing, photographs of damage, pest control, change of locks if keys issues are not returned or if Tenant provides an unauthorized person with
any key to the property, re-rent fees, and re-rent fees. The administrative fee in the sum of $200.00 is a non-refundable fee and is specifically deducted
for professional services rendered by Morgan Property Management, Inc. due at lease signing and is not a deposit or otherwise able to be used to offset
other amounts due"
Rent Deposit,Security Deposit (last rent)
Rent Deposit,"The Tenant agrees to deposit with the Landlord the sum of $____1200_________ as prepaid rent to be applied
towards the last month's rent of the term of this Agreement."
Rent Deposit,"Last month rent deposit will be required for move in by December 15 via e-
transfer (this will be deposited and will count as the last month rent)"
Rent Deposit,"Notwithstanding clause 4 of the Standard Form of Lease, the Tenant(s) is not entitled to occupy the
Leased Premises until such time as the rent for the first rental period, along with any last month’s rent
deposit as may be required under the Agreement have been paid to the Landlord by guaranteed funds.
Failure by the Tenant to pay the Landlord these sums prior to the commencement of the tenancy shall, at
the Landlord’s sole and exclusive option and notwithstanding clause 4 of the Standard Lease Form, make
the entire Tenancy Agreement null and void, negating any rights of occupancy that the Tenant(s) would
otherwise have had. If such were to occur, all funds held on deposit shall be retained by the Landlord to
be applied as rent towards the last month of the tenancy, and the Landlord has the right under law to
commence an action for any further damages in a Court of competent jurisdiction, to compensate the
Landlord for its costs in advertising and re-renting the unit, and for loss of income during the time the unit
remains empty prior to the commencement of a replacement tenancy."
Rent Deposit,Last Month Deposit
Rent Deposit,Rent Deposit:
Rent Deposit,"The tenant will pay a rent deposit of $ 500.00 . This can only be applied to the rent for the last rental period
of the tenancy"
Rent Deposit,Last Month's Rent Deposit
Rent Deposit,"I acknowledge having deposited with the Landlord in certified funds the amount
set out in the Rental Application as the Last Month’s Rent Deposit and understand and agree that
the Landlord’s acceptance of the deposit does not constitute a tenancy agreement. In the event 
that this Rental Application is not accepted by the Landlord by reason that any of the above
information proves not to be true, or is incomplete or misleading, I agree that the Last Month’s
Rent Deposit may be returned less the sum of $150.00 for the Landlord’s expenses and time
incurred."
Rent Deposit,"The landlord acknowledges receipt from the Tenant of the sum of $ as a rent deposit to secure the Tenant's performance
of the obligations imposed by this agreement. The rent deposit may be applied towards damages committed by the tenant during the tenants residency"
Key Deposit,Key Deposit
Key Deposit,"The tenant will pay a refundable key deposit of $ to cover the cost of replacing the keys, remote entry devices or cards if they are not returned to the landlord at the end of the tenancy."
Key Deposit,Tenant agrees to pledge a key deposit of $______.00 which will be refunded upon returning the key/access card/remote control at the end of the Lease Term.
Key Deposit,"Key deposit: $25.00 in order to release keys, garage door openers, amenity access card"
Key Deposit,Tenant has paid a refundable mailbox key deposit of $10.00
Key Deposit,"KEY DEPOSIT: _ key(s) at $15.00 per key, $______"
Key Deposit,"On move-in day, key handover includes the FOB, bedroom
access code, mailbox key and laundry card. A Key Deposit of
$200 must first be received and processed."
Key Deposit,"TENANT shall make a key deposit (if any) in the amount set forth in paragraph 2 upon execution of this Agreement.
13 The key deposit shall be refunded within 30 days of TENANT’s return of all cards and/or keys to LANDLORD or
14 LANDLORD’s BROKER/DESIGNATED PROPERTY MANAGER."
Key Deposit,"A refundable KEY DEPOSIT will be charged in the amount of $40.00, and shall be returned in full upon vacating and returning the keys. Tenant will be charged an additional fee if additional suite keys will be needed. Tenant agrees and understands this will be coordinated by management"
